sr_centre,k_mean,k_std,n_points
0.0788,51.039,1.455,108
0.1313,51.246,2.393,478
0.1838,53.808,5.619,774
0.2363,53.215,5.018,1132
0.2888,56.942,8.762,982
0.3413,61.761,12.562,992
0.3938,66.324,16.062,856
0.4463,72.195,22.234,960
0.4988,80.853,25.967,820
0.5513,82.458,28.414,1011
0.6038,84.609,30.748,1102
0.6563,89.687,31.892,1386
0.7088,99.760,35.401,1193
0.7613,106.221,39.961,1563
0.8138,107.006,41.950,2051
0.8663,111.558,38.797,3972
0.9188,152.526,68.298,3617
0.9713,247.736,112.789,10673
1.0238,215.835,118.511,4589
