timestamp_s,reinf_signal,engine_rpm,turbine_rpm,tailshaft_rpm,tc_slip_ratio,gear_ratio
1674559818.694313,20,0.0,0,0,,
1674559818.696262,20,0.0,0,0,,
1674559818.715782,20,0.0,0,0,,
1674559818.756674,20,0.0,0,0,,
1674559818.807523,20,0.0,0,0,,
1674559818.836722,20,0.0,0,0,,
1674559818.873780,20,0.0,0,0,,
1674559818.875866,20,0.0,0,0,,
1674559818.895379,20,0.0,0,0,,
1674559818.914782,20,0.0,0,0,,
1674559818.954862,20,0.0,0,0,,
1674559818.974319,20,0.0,0,0,,
1674559818.976287,20,109.0,0,0,,
1674559819.015360,20,109.0,0,0,,
1674559819.056374,20,109.0,0,0,,
1674559819.087526,20,109.0,0,0,,
1674559819.093399,20,109.0,0,0,,
1674559819.095349,20,147.0,0,0,,
1674559819.146137,20,147.0,0,0,,
1674559819.176368,20,147.0,0,0,,
1674559819.214435,20,147.0,0,0,,
1674559819.216462,20,139.0,0,0,,
1674559819.286638,20,165.0,0,0,,
1674559819.306148,20,165.0,25,0,6.6,
1674559819.347267,20,165.0,35,0,4.7143,
1674559819.356888,20,278.0,35,0,7.9429,
1674559819.376481,20,278.0,35,0,7.9429,
1674559819.386179,20,360.0,35,0,10.2857,
1674559819.455496,20,360.0,35,0,10.2857,
1674559819.477008,20,749.0,35,0,21.4,
1674559819.544398,20,749.0,358,0,2.0922,
1674559819.597034,20,743.0,358,0,2.0754,
1674559819.606753,20,740.0,358,0,2.067,
1674559819.636046,20,740.0,358,0,2.067,
1674559819.655702,20,740.0,358,0,2.067,
1674559819.696598,20,740.0,358,0,2.067,
1674559819.755223,20,740.0,358,0,2.067,
1674559819.776685,20,740.0,358,0,2.067,
1674559819.835198,20,740.0,358,0,2.067,
1674559819.837135,20,748.0,358,0,2.0894,
1674559819.856637,20,748.0,358,0,2.0894,
1674559819.866427,20,741.0,358,0,2.0698,
1674559819.925965,20,741.0,678,0,1.0929,
1674559819.955276,20,741.0,678,0,1.0929,
1674559819.976717,20,741.0,678,0,1.0929,
1674559819.986571,20,742.0,678,0,1.0944,
1674559820.015890,20,742.0,678,0,1.0944,
1674559820.056731,20,742.0,678,0,1.0944,
1674559820.066546,20,725.0,678,0,1.0693,
1674559820.076297,20,725.0,678,0,1.0693,
1674559820.087988,20,725.0,696,0,1.0417,
1674559820.113653,20,725.0,696,0,1.0417,
1674559820.115401,20,727.0,696,0,1.0445,
1674559820.136811,20,731.0,696,0,1.0503,
1674559820.175814,20,731.0,696,0,1.0503,
1674559820.216912,20,731.0,696,0,1.0503,
1674559820.234474,20,731.0,696,0,1.0503,
1674559820.236309,20,717.0,696,0,1.0302,
1674559820.246123,20,717.0,688,0,1.0422,
1674559820.294868,20,717.0,688,0,1.0422,
1674559820.306694,20,722.0,688,0,1.0494,
1674559820.325787,20,722.0,679,0,1.0633,
1674559820.356976,20,722.0,679,0,1.0633,
1674559820.376451,20,722.0,679,0,1.0633,
1674559820.414575,20,722.0,679,0,1.0633,
1674559820.434697,20,722.0,679,0,1.0633,
1674559820.436673,20,704.0,679,0,1.0368,
1674559820.475580,20,704.0,679,0,1.0368,
